City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fare,-16.7,-151.0167,79.16,78,76,13.73,PF,1623514659
Mahébourg,-20.4081,57.7,75.49,69,75,11.5,MU,1623514659
De Panne,51.0792,2.5917,73.22,57,12,5.75,BE,1623514446
Jeypore,18.85,82.5833,75.69,85,93,5.86,IN,1623514447
Harrai,22.6167,79.2167,81.19,68,100,4.63,IN,1623514447
Bonthe,7.5264,-12.505,83.66,67,96,7.54,SL,1623514448
Labuhan,-6.8844,112.2051,80.22,81,5,7.58,ID,1623514448
Yüksekova,37.5736,44.2872,62.11,41,0,6.31,TR,1623514448
Bay Roberts,47.5999,-53.2648,54.81,63,16,15.01,CA,1623514449
Mehamn,71.0357,27.8492,49.69,91,68,16.73,NO,1623514449
Kyra,49.5776,111.9753,57.99,76,71,1.99,RU,1623514450
Havre-St-Pierre,50.2334,-63.5986,57.56,58,90,9.22,CA,1623514450
Ukiah,39.1502,-123.2078,73.04,71,1,4.61,US,1623514409
Saýat,38.7839,63.8803,90.23,15,0,12.06,TM,1623514451
Semenyih,2.9516,101.843,78.55,86,98,2.44,MY,1623514451
Acapulco de Juárez,16.8634,-99.8901,76.82,100,90,0.0,MX,1623514666
Norman Wells,65.282,-126.8329,51.84,87,90,4.61,CA,1623514666
Itaqui,-29.1253,-56.5531,65.1,59,1,5.84,BR,1623514452
Dikson,73.5069,80.5464,30.45,88,52,3.24,RU,1623514667
Baruun-Urt,46.6806,113.2792,65.25,51,26,5.73,MN,1623514453
Dalvik,65.9702,-18.5286,39.43,71,14,4.68,IS,1623514453
Hualmay,-11.0964,-77.6139,69.19,74,49,8.86,PE,1623514668
Omsukchan,62.5333,155.8,36.23,78,0,2.64,RU,1623514454
Muros,42.7762,-9.0603,92.68,47,0,2.8,ES,1623514668
Beian,63.6559,9.5683,57.56,82,75,18.41,NO,1623514454
Mankato,44.1636,-93.9994,80.78,36,1,11.5,US,1623514200
Moree,-29.4667,149.85,51.82,87,90,6.91,AU,1623514669
Togur,58.3631,82.8265,54.32,91,100,6.76,RU,1623514455
Gurkovo,42.6667,25.8,70.54,78,62,1.63,BG,1623514456
Jardim,-21.4803,-56.1381,76.19,35,0,4.14,BR,1623514456
Kaitangata,-46.2817,169.8464,48.92,85,100,4.79,NZ,1623514670
Potters Bar,51.6935,-0.1784,77.0,50,23,8.95,GB,1623514457
Sicamous,50.8331,-118.9856,63.28,84,30,4.27,CA,1623514457
Lebu,-37.6167,-73.65,59.41,83,94,5.32,CL,1623514671
Ji’an,27.1172,114.9793,78.31,89,98,4.27,CN,1623514458
Abidjan,5.3094,-4.0197,85.96,74,20,11.5,CI,1623514458
Bar Harbor,44.3876,-68.2039,72.54,70,40,5.99,US,1623514459
Zhigansk,66.7697,123.3711,49.17,44,25,9.46,RU,1623514672
Margate,51.3813,1.3862,77.86,50,6,3.27,GB,1623514459
Marsh Harbour,26.5412,-77.0636,82.71,68,10,9.64,BS,1623514673
Lüderitz,-26.6481,15.1594,60.58,78,100,12.44,NA,1623514673
Markivka,49.5229,39.5705,67.98,81,46,8.97,UA,1623514460
Churapcha,62.0025,132.4325,51.71,64,99,7.83,RU,1623514461
Los Llanos de Aridane,28.6585,-17.9182,75.13,64,75,14.97,ES,1623514461
Kamina,-8.7386,24.9906,72.57,41,0,3.56,CD,1623514674
Carnarvon,-24.8667,113.6333,57.27,53,4,0.0,AU,1623514675
Yuancheng,36.652,107.7896,72.55,64,100,10.31,CN,1623514462
Dunedin,-45.8742,170.5036,48.79,85,98,10.0,NZ,1623514462
Constitución,-35.3333,-72.4167,62.73,72,3,5.08,CL,1623514675
Óbidos,-1.9175,-55.5181,78.64,77,99,1.77,BR,1623514191
Nabire,-3.3667,135.4833,75.49,92,96,3.51,ID,1623514463
Drayton Valley,53.2168,-114.9854,57.13,55,100,4.05,CA,1623514463
Salym,60.0625,71.4789,64.67,63,100,5.84,RU,1623514464
Atbasar,51.8,68.3333,61.39,45,20,9.24,KZ,1623514464
Gamba,-2.65,10.0,79.68,79,24,7.18,GA,1623514465
Camabatela,-8.1881,15.375,78.82,30,29,3.53,AO,1623514465
Dongkan,33.9997,119.8308,74.62,72,99,7.31,CN,1623514466
Sri Aman,1.2376,111.4621,74.16,96,100,1.05,MY,1623514466
Jasper,37.2001,-94.3502,87.85,66,1,1.01,US,1623514466
Kanniyākumāri,8.0833,77.5667,81.27,80,100,20.38,IN,1623514467
Nishihara,26.1842,127.7558,81.68,89,40,6.91,JP,1623514678
Katsuura,35.1333,140.3,75.11,89,100,12.84,JP,1623514467
Shitanjing,39.2342,106.3439,72.07,61,100,10.13,CN,1623514468
Lorengau,-2.0226,147.2712,82.18,77,30,9.71,PG,1623514679
Karaton,-6.3424,106.1045,80.96,93,57,3.0,ID,1623514469
Ginda,30.6945,78.4932,64.62,84,14,2.93,IN,1623514469
Emerald,-23.5333,148.1667,55.06,38,0,5.32,AU,1623514469
Mongomo,1.6274,11.3135,74.35,94,97,2.24,GQ,1623514470
San Patricio,28.017,-97.5169,90.01,61,9,8.23,US,1623514680
Benguela,-12.5763,13.4055,79.27,68,14,4.05,AO,1623514470
Coquimbo,-29.9533,-71.3436,55.13,82,90,8.05,CL,1623514478
Pevek,69.7008,170.3133,30.63,93,31,3.49,RU,1623514681
Isangel,-19.55,169.2667,72.68,78,85,9.33,VU,1623514471
Lavras,-21.2453,-44.9997,72.84,52,82,3.27,BR,1623514475
São João da Barra,-21.6403,-41.0511,75.29,78,100,10.11,BR,1623514683
Necochea,-38.5473,-58.7368,72.03,47,19,14.41,AR,1623514683
Morro Bay,35.3658,-120.8499,81.25,47,0,7.0,US,1623514476
Talnakh,69.4865,88.3972,34.43,95,100,7.31,RU,1623514684
Szczecinek,53.7079,16.6994,60.35,53,81,14.47,PL,1623514477
Tezu,27.9167,96.1667,79.14,84,50,3.4,IN,1623514685
Río Gallegos,-51.6226,-69.2181,44.65,70,40,36.82,AR,1623514685
Tabora,-5.0167,32.8,72.75,47,1,3.62,TZ,1623514478
Nuuk,64.1835,-51.7216,43.41,75,75,9.22,GL,1623514478
Sawtell,-30.3833,153.1,46.18,93,5,0.0,AU,1623514478
Caernarfon,53.1413,-4.2702,69.51,63,0,8.05,GB,1623514479
Oiã,40.5426,-8.5386,83.44,55,58,9.82,PT,1623514479
Iqaluit,63.7506,-68.5145,40.73,65,20,8.99,CA,1623514686
El Sauce,12.8869,-86.539,88.05,57,82,2.53,NI,1623514437
Bandarbeyla,9.4942,50.8122,79.74,76,81,31.45,SO,1623514480
Moshny,49.5147,31.7476,72.05,68,16,5.41,UA,1623514480
Southbridge,42.0751,-72.0334,68.34,82,100,1.88,US,1623514481
Sosnovo-Ozerskoye,52.5249,111.5418,53.62,72,75,0.58,RU,1623514481
Gryazovets,58.88,40.2525,67.46,68,93,3.13,RU,1623514482
Usinsk,65.9939,57.5281,75.78,39,85,3.58,RU,1623514688
Ipixuna,-1.7625,-48.8043,78.75,74,99,4.9,BR,1623514482
Rawson,-43.3002,-65.1023,60.94,47,100,22.24,AR,1623514689
Moindou,-21.6924,165.677,66.15,79,100,5.97,NC,1623514483
Longyan,25.1072,117.0225,73.51,98,77,2.35,CN,1623514483
Victor Harbor,-35.5667,138.6167,53.91,89,100,5.21,AU,1623514484
Vao,-22.6667,167.4833,73.06,72,98,12.91,NC,1623514484
Port Augusta,-32.5,137.7667,53.74,59,76,4.88,AU,1623514485
Tavda,58.0425,65.2726,63.09,62,57,5.26,RU,1623514485
Severo-Kuril'sk,50.6789,156.125,49.78,81,100,1.86,RU,1623514691
Arcata,40.8665,-124.0828,68.74,96,90,5.75,US,1623514486
Oranjemund,-28.55,16.4333,63.72,60,100,8.43,NA,1623514487
Santiago de Cao,-7.9589,-79.2392,68.13,83,40,8.05,PE,1623514487
Port Elizabeth,-33.918,25.5701,64.09,75,100,6.42,ZA,1623514412
Pisco,-13.7,-76.2167,66.25,72,90,8.05,PE,1623514692
Havøysund,70.9963,24.6622,49.08,99,100,11.99,NO,1623514693
Yagodnoye,62.55,149.6667,48.31,50,0,3.04,RU,1623514488
Vehari,30.0333,72.35,104.14,27,0,8.37,PK,1623514489
Geraldton,-28.7667,114.6,55.81,94,2,8.05,AU,1623514694
Camaná,-16.6228,-72.7111,67.91,67,6,9.31,PE,1623514489
Praia,14.9215,-23.5087,79.34,78,89,10.36,CV,1623514490
Vila Franca do Campo,37.7167,-25.4333,72.01,70,48,0.56,PT,1623514694
Sasina,44.7987,16.739,78.78,52,91,3.62,BA,1623514490
Seydi,39.4816,62.9137,90.91,14,0,11.21,TM,1623514491
La Ronge,55.1001,-105.2842,60.15,62,99,9.93,CA,1623514491
Vigía del Fuerte,6.5789,-76.8863,85.87,71,97,1.99,CO,1623514492
Ambatofinandrahana,-20.55,46.8,57.6,79,70,4.9,MG,1623514492
Souillac,-20.5167,57.5167,75.58,69,75,11.5,MU,1623514696
Laguna,38.421,-121.4238,77.09,66,1,0.0,US,1623514493
Christchurch,-43.5333,172.6333,46.02,100,90,3.44,NZ,1623514493
Klaksvík,62.2266,-6.589,47.32,75,85,19.17,FO,1623514700
Tauá,-5.9667,-40.3,91.9,28,27,6.89,BR,1623514494
Santa Maria,-29.6842,-53.8069,62.42,56,12,5.73,BR,1623514235
Bambous Virieux,-20.3428,57.7575,75.45,69,75,11.5,MU,1623514701
Bozhou,33.8772,115.7703,79.81,74,100,5.82,CN,1623514495
Chumikan,54.7183,135.315,36.99,93,19,1.59,RU,1623514702
Belaya Gora,68.5333,146.4167,55.99,44,98,6.91,RU,1623514702
Marzuq,14.4,46.4667,90.37,10,38,4.36,YE,1623514495
Hasaki,35.7333,140.8333,70.09,85,87,12.55,JP,1623514703
Yalta,44.5,34.1667,72.63,73,77,3.11,UA,1623514496
Sioux Lookout,50.1001,-91.917,66.58,72,90,8.05,CA,1623514622
Cap-aux-Meules,47.3821,-61.8597,49.82,89,5,15.82,CA,1623514202
El Alto,-4.2714,-81.2147,74.86,64,3,11.65,PE,1623514497
Port Lincoln,-34.7333,135.8667,55.74,57,100,7.29,AU,1623514704
College,64.8569,-147.8028,56.89,71,40,0.0,US,1623514307
Revda,56.801,59.9303,68.81,61,86,6.96,RU,1623514498
Ambon City,-3.6954,128.1814,78.94,89,40,4.61,ID,1623514705
Tarko-Sale,64.9225,77.785,53.01,81,100,1.99,RU,1623514498
Saldanha,-33.0117,17.9442,59.83,76,81,8.08,ZA,1623514705
Camacha,33.0833,-16.3333,74.53,60,40,14.97,PT,1623514706
Kavieng,-2.5744,150.7967,81.99,76,1,14.0,PG,1623514499
Cairns,-16.9167,145.7667,74.07,97,75,11.5,AU,1623514706
Beauchamps,50.012,1.5176,70.48,69,53,7.72,FR,1623514500
Yeppoon,-23.1333,150.7333,47.98,74,18,3.91,AU,1623514707
Juneau,58.3019,-134.4197,52.84,94,90,0.0,US,1623514361
Basco,20.4487,121.9702,84.31,80,98,10.49,PH,1623514501
Dapaong,10.8639,0.205,90.52,40,73,4.27,TG,1623514502
Narsaq,60.9167,-46.05,55.62,65,31,8.97,GL,1623514503
Ust-Nera,64.5667,143.2,55.9,54,67,5.41,RU,1623514503
Bunawan,8.1667,126.0833,72.21,99,100,1.25,PH,1623514504
Svetlaya,46.5389,138.3297,58.39,85,15,6.6,RU,1623514504
Sal Rei,16.1833,-22.9167,86.56,78,0,9.22,CV,1623514505
Ayan,56.45,138.1667,44.28,72,94,3.06,RU,1623514709
Syas'stroy,60.1367,32.5691,64.17,72,57,8.99,RU,1623514505
Krasnokamensk,50.0979,118.0369,62.08,68,52,3.49,RU,1623514509
Cockburn Town,21.4612,-71.1419,80.94,77,55,15.46,TC,1623514509
Pleasanton,37.6624,-121.8747,71.08,77,90,1.01,US,1623514317
Nikolskoye,59.7035,30.7861,71.49,70,77,6.58,RU,1623514710
Mahabalipuram,12.6264,80.1722,84.25,87,100,8.5,IN,1623514510
Poum,-20.2333,164.0167,74.84,77,86,18.34,NC,1623514711
Jieshi,22.8134,115.8257,81.95,86,66,4.88,CN,1623514511
Oistins,13.0667,-59.5333,87.89,55,40,17.27,BB,1623514511
Whitehorse,60.7161,-135.0538,48.97,93,90,1.99,CA,1623514512
Port Macquarie,-31.4333,152.9167,42.39,83,0,5.82,AU,1623514512
Panabá,21.2833,-88.2667,91.9,47,87,8.23,MX,1623514513
Ust'-Kulom,61.6864,53.6902,69.51,41,41,5.03,RU,1623514513
Bariloche,-41.1456,-71.3082,53.35,66,40,23.02,AR,1623514481
Lewisporte,49.2499,-55.0482,62.31,37,61,6.55,CA,1623514514
Clyde River,70.4692,-68.5914,41.23,75,40,18.41,CA,1623514514
Nazca,-14.8333,-74.95,75.16,42,0,4.16,PE,1623514514
Sinnamary,5.3833,-52.95,81.39,74,57,5.08,GF,1623514714
Luganville,-15.5333,167.1667,77.25,72,95,10.45,VU,1623514515
Skibbereen,51.55,-9.2667,69.6,73,10,9.17,IE,1623514516
Coahuayana Viejo,18.7333,-103.6833,87.28,58,80,3.24,MX,1623514516
Booué,-0.0921,11.9385,79.39,90,96,2.75,GA,1623514516
Hay River,60.8156,-115.7999,62.58,59,40,8.05,CA,1623514517
Cherskiy,68.75,161.3,40.8,69,0,1.32,RU,1623514715
Benghazi,32.1167,20.0667,74.77,68,0,14.05,LY,1623514517
Iquitos,-3.7481,-73.2472,75.24,94,90,5.75,PE,1623514518
Kovūr,14.4833,79.9833,88.05,57,100,6.58,IN,1623514518
Bānāvar,13.4136,76.1683,71.35,87,99,12.71,IN,1623514519
Longyearbyen,78.2186,15.6401,39.04,65,75,8.05,SJ,1623514716
Hangu,39.2489,117.7892,82.44,73,36,13.47,CN,1623514519
Cayenne,4.9333,-52.3333,86.04,70,90,4.61,GF,1623514515
Olinda,-8.0089,-34.8553,80.33,61,20,13.8,BR,1623514518
Kieta,-6.2167,155.6333,77.32,76,9,7.29,PG,1623514718
Bousso,10.4795,16.7117,82.24,61,95,12.33,TD,1623514520
Gizo Government Station,-8.103,156.8419,80.65,72,13,6.8,SB,1623514521
Jadu,31.953,12.0261,81.25,25,100,8.93,LY,1623514521
Prince Albert,53.2001,-105.7677,67.95,45,20,11.5,CA,1623514522
Tshikapa,-6.4167,20.8,87.24,31,7,2.1,CD,1623514522
Sur,22.5667,59.5289,91.15,60,0,5.82,OM,1623514225
Portland,45.5234,-122.6762,66.51,82,75,1.99,US,1623514559
Pointe-Noire,-4.7761,11.8635,80.37,76,81,6.31,CG,1623514523
Santa Rosa,14.3122,121.1114,82.38,81,91,2.89,PH,1623514720
Mogadishu,2.0371,45.3438,78.4,81,98,17.63,SO,1623514314
Savonlinna,61.8699,28.88,70.25,64,0,16.11,FI,1623514524
Torbay,47.6666,-52.7314,61.57,41,40,16.11,CA,1623514721
Gayny,60.3071,54.3241,66.81,52,73,8.14,RU,1623514525
Bolitoc,15.7395,119.8769,80.56,83,100,8.5,PH,1623514525
Oxford,51.7522,-1.256,76.1,48,20,5.75,GB,1623514525
Tuatapere,-46.1333,167.6833,52.47,95,100,3.38,NZ,1623514722
Marawi,7.9986,124.2928,66.65,95,100,3.56,PH,1623514526
Gaozhou,21.9392,110.8461,77.58,93,99,7.43,CN,1623514526
Avarua,-21.2078,-159.775,73.45,64,75,6.91,CK,1623514515
Lázaro Cárdenas,17.9583,-102.2,85.46,64,74,4.07,MX,1623514527
Saint-François,46.4154,3.9054,81.84,47,0,9.22,FR,1623514528
Havelock,34.8791,-76.9013,84.18,78,86,7.0,US,1623514396
Seoul,37.5683,126.9778,70.99,94,0,2.3,KR,1623514644
Richards Bay,-28.783,32.0377,67.15,79,0,10.36,ZA,1623514528
Švenčionys,55.15,26.1667,63.7,86,86,5.95,LT,1623514529
Salalah,17.0151,54.0924,84.29,89,90,8.05,OM,1623514529
Manjacaze,-24.7117,33.8828,64.67,84,33,4.74,MZ,1623514530
Grindavik,63.8424,-22.4338,53.55,57,75,18.41,IS,1623514724
Morón,-34.6534,-58.6198,71.49,56,26,4.0,AR,1623514725
Biak,-0.9131,122.8766,75.45,88,56,0.56,ID,1623514530
Dhanaula,30.2833,75.5833,87.31,41,88,14.54,IN,1623514531
Cabo San Lucas,22.8909,-109.9124,91.81,42,1,10.36,MX,1623514726
Tigil',57.8,158.6667,38.8,85,1,1.74,RU,1623514726
Masuguru,-11.3667,38.4167,74.03,45,2,3.83,TZ,1623514532
Puerto Nariño,-3.7703,-70.3831,80.55,83,79,4.27,CO,1623514532
Apahida,46.8167,23.75,75.51,50,20,3.44,RO,1623514532
Hirara,24.8,125.2833,83.26,83,70,12.37,JP,1623514533
Tlacolula,16.9542,-96.4792,65.07,69,83,3.4,MX,1623514533
Gari,59.4307,62.3497,65.08,56,15,5.03,RU,1623514727
Senneterre,48.3835,-77.2328,64.62,31,68,5.55,CA,1623514534
Sistranda,63.7256,8.834,52.9,84,98,27.07,NO,1623514728
Jaciara,-15.9653,-54.9683,86.43,41,83,1.23,BR,1623514535
Arlit,18.7369,7.3853,110.68,5,16,2.48,NE,1623514535
Mayumba,-3.432,10.6554,79.63,82,48,5.61,GA,1623514729
Griffith,41.5284,-87.4237,92.08,57,1,1.01,US,1623514443
Stepnyak,52.8339,70.7803,57.94,46,79,7.0,KZ,1623514536
Trogir,43.5125,16.2517,84.25,37,0,14.97,HR,1623514536
Agirish,61.9247,63.0231,70.52,36,81,4.25,RU,1623514537
Dingle,10.9995,122.6711,77.97,86,100,1.45,PH,1623514730
Alyangula,-13.8483,136.4192,71.8,84,5,7.43,AU,1623514537
Aljezur,37.3191,-8.8033,73.26,65,96,9.51,PT,1623514538
Kyrylivka,46.3759,35.3675,72.77,69,88,5.99,UA,1623514538
Palmas,-10.2128,-48.3603,87.67,48,0,5.75,BR,1623514451
Jinka,5.65,36.65,71.89,58,69,1.66,ET,1623514539
Soyo,-6.1349,12.3689,79.16,77,86,8.84,AO,1623514540
Angoche,-16.2325,39.9086,73.15,67,43,11.65,MZ,1623514540
